"FullPath","RelativePath","TopLevel","SizeBytes","LastWriteUtc"
"C:\Users\conor\Desktop\MasterRecovery3\archive\forensic_data\gdrive_import_20260306_160512\Volume 1 (Linux Linux filesystem data).dsk","archive\forensic_data\gdrive_import_20260306_160512\Volume 1 (Linux Linux filesystem data).dsk","archive","29178724352","2026-03-06T23:28:16.6622719Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\GDrive_Crypto_Recovery_Backups\Unallocated.dsk","archive\Imported_Data\GDrive_Crypto_Recovery_Backups\Unallocated.dsk","archive","29178724352","2026-03-02T20:08:23.1718916Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\GDrive_Crypto_Recovery_Backups\Volume 1 (Linux Linux filesystem data).dsk","archive\Imported_Data\GDrive_Crypto_Recovery_Backups\Volume 1 (Linux Linux filesystem data).dsk","archive","29178724352","2026-03-02T20:08:23.1718916Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\root_disk_images\Volume 1 (Linux Linux filesystem data).dsk","archive\root_disk_images\Volume 1 (Linux Linux filesystem data).dsk","archive","29178724352","2026-03-02T20:08:23.1718916Z"
"C:\Users\conor\Desktop\MasterRecovery3\RECOVERY.zip","RECOVERY.zip","<root>","7230262743","2026-03-01T19:24:01.5710000Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\OneDrive_Desktop_transfer\recovered_Tails\tails_data.dd","archive\OneDrive_Desktop_transfer\recovered_Tails\tails_data.dd","archive","3411017728","2026-02-27T21:38:00.3900000Z"
"C:\Users\conor\Desktop\MasterRecovery3\.git\objects\cd\bfe78b80f836c8fc274e3844ed3d67fa889403",".git\objects\cd\bfe78b80f836c8fc274e3844ed3d67fa889403",".git","2934803937","2026-02-28T22:50:37.4711530Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Drive_Orphans\Desktop\135701","archive\Imported_Data\Drive_Orphans\Desktop\135701","archive","2934803937","2026-03-01T22:50:20.2796304Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\external_imports\usb_and_external_devices\DRIVES\Recovery.vhdx","archive\external_imports\usb_and_external_devices\DRIVES\Recovery.vhdx","archive","1514143744","2026-03-01T05:11:53.1850000Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\F_Drive_Images\Recovery.vhdx","archive\Imported_Data\F_Drive_Images\Recovery.vhdx","archive","1514143744","2026-03-01T22:50:36.5450721Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\external_imports\usb_and_external_devices\DRIVES\Recovery - Copy (2).vhdx","archive\external_imports\usb_and_external_devices\DRIVES\Recovery - Copy (2).vhdx","archive","1379926016","2026-03-01T02:45:38.3990000Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Files\shdw_cpes_deleted_files.txt","archive\Files\shdw_cpes_deleted_files.txt","archive","1346680072","2025-12-19T16:53:48.0000000Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Global_Text_Docs\OneDrive\Desktop\RECOVERY\Files\shdw_cpes_deleted_files.txt","archive\Imported_Data\Global_Text_Docs\OneDrive\Desktop\RECOVERY\Files\shdw_cpes_deleted_files.txt","archive","1346680072","2026-03-01T22:54:32.4218552Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\OneDrive_RECOVERY\Files\shdw_cpes_deleted_files.txt","archive\Imported_Data\OneDrive_RECOVERY\Files\shdw_cpes_deleted_files.txt","archive","1346680072","2026-03-01T22:53:19.6672225Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Drive_Orphans\Downloads\134182","archive\Imported_Data\Drive_Orphans\Downloads\134182","archive","1288758202","2026-03-01T22:50:20.2702780Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\GDrive_Crypto_Recovery_Backups\archive\OneDrive_Desktop_transfer\deleted_files_HP15_AllShadowCopies.txt","archive\Imported_Data\GDrive_Crypto_Recovery_Backups\archive\OneDrive_Desktop_transfer\deleted_files_HP15_AllShadowCopies.txt","archive","1260542670","2026-03-01T22:53:18.0956560Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Global_Text_Docs\GDrive\Other computers\My Laptop (1)\archive\OneDrive_Desktop_transfer\deleted_files_HP15_AllShadowCopies.txt","archive\Imported_Data\Global_Text_Docs\GDrive\Other computers\My Laptop (1)\archive\OneDrive_Desktop_transfer\deleted_files_HP15_AllShadowCopies.txt","archive","1260542670","2026-03-01T22:54:48.2985949Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Global_Text_Docs\GDrive\Other computers\My Laptop (1)\Documents\deleted_files_HP15_AllShadowCopies.txt","archive\Imported_Data\Global_Text_Docs\GDrive\Other computers\My Laptop (1)\Documents\deleted_files_HP15_AllShadowCopies.txt","archive","1260542670","2026-03-01T22:54:48.6947723Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\MyLaptop1\Documents\deleted_files_HP15_AllShadowCopies.txt","archive\Imported_Data\MyLaptop1\Documents\deleted_files_HP15_AllShadowCopies.txt","archive","1260542670","2026-03-01T22:44:31.4251470Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\OneDrive_Desktop_transfer\deleted_files_HP15_AllShadowCopies.txt","archive\OneDrive_Desktop_transfer\deleted_files_HP15_AllShadowCopies.txt","archive","1260542670","2026-02-27T21:48:05.8430000Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Drive_Orphans\Downloads\134186","archive\Imported_Data\Drive_Orphans\Downloads\134186","archive","1256942925","2026-03-01T22:50:20.2796304Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Drive_Orphans\Downloads\134176","archive\Imported_Data\Drive_Orphans\Downloads\134176","archive","1254967087","2026-03-01T22:50:20.2780729Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Drive_Orphans\Downloads\134184","archive\Imported_Data\Drive_Orphans\Downloads\134184","archive","1252719359","2026-03-01T22:50:20.2780729Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Drive_Orphans\Downloads\134172","archive\Imported_Data\Drive_Orphans\Downloads\134172","archive","1189692016","2026-03-01T22:50:20.2764508Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Drive_Orphans\Downloads\134178","archive\Imported_Data\Drive_Orphans\Downloads\134178","archive","1172812168","2026-03-01T22:50:20.2780729Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Drive_Orphans\Downloads\134174","archive\Imported_Data\Drive_Orphans\Downloads\134174","archive","1097866452","2026-03-01T22:50:20.2796304Z"
"C:\Users\conor\Desktop\MasterRecovery3\.git\objects\94\6392796b69fb7469d5ab1fc903669b396e6d92",".git\objects\94\6392796b69fb7469d5ab1fc903669b396e6d92",".git","991200714","2026-03-02T03:01:20.3429031Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Drive_Orphans\Downloads\134180","archive\Imported_Data\Drive_Orphans\Downloads\134180","archive","956317220","2026-03-01T22:50:20.2796304Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Qphoto\recup_dir.1\f943872400.wim","archive\Qphoto\recup_dir.1\f943872400.wim","archive","887946566","2025-12-19T10:16:12.0000000Z"
"C:\Users\conor\Desktop\MasterRecovery3\.git\objects\f2\aa48646b829ed32038ff182ae47d2d7d790fbd",".git\objects\f2\aa48646b829ed32038ff182ae47d2d7d790fbd",".git","825387145","2026-02-28T22:51:59.4284039Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\recup_dir.2\f2083304.xz","archive\recup_dir.2\f2083304.xz","archive","825219072","2025-12-19T10:33:48.0000000Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\external_imports\usb_and_external_devices\DRIVES\Recovery - Copy - Copy.vhdx","archive\external_imports\usb_and_external_devices\DRIVES\Recovery - Copy - Copy.vhdx","archive","742391808","2026-03-01T02:46:30.6170000Z"
"C:\Users\conor\Desktop\MasterRecovery3\.git\objects\fd\259ca813b8ff63184d983491cef680ff7d4491",".git\objects\fd\259ca813b8ff63184d983491cef680ff7d4491",".git","729602926","2026-02-28T22:49:08.7410534Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Drive_Orphans\Desktop\134871","archive\Imported_Data\Drive_Orphans\Desktop\134871","archive","729602926","2026-03-01T22:50:20.2749063Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\external_imports\usb_and_external_devices\DRIVES\Recovery - Copy.vhdx","archive\external_imports\usb_and_external_devices\DRIVES\Recovery - Copy.vhdx","archive","708837376","2026-03-01T02:45:08.3740000Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\F_Drive_Images\Recovery - Copy.vhdx","archive\Imported_Data\F_Drive_Images\Recovery - Copy.vhdx","archive","708837376","2026-03-01T22:50:36.1566517Z"
"C:\Users\conor\Desktop\MasterRecovery3\.git\objects\6b\1e28a0ac39bd0e9dd2e85f3446cf9345d1282a",".git\objects\6b\1e28a0ac39bd0e9dd2e85f3446cf9345d1282a",".git","707380148","2026-03-05T21:22:55.4994943Z"
"C:\Users\conor\Desktop\MasterRecovery3\config\tier3_pattern_list.txt","config\tier3_pattern_list.txt","config","581887071","2026-03-07T15:24:32.3168557Z"
"C:\Users\conor\Desktop\MasterRecovery3\.git\objects\bd\096c0b2824b01feb81a02523ffbc2c87a2b529",".git\objects\bd\096c0b2824b01feb81a02523ffbc2c87a2b529",".git","568095200","2026-02-28T22:53:03.4380928Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\recup_dir.2\f6419440.xz","archive\recup_dir.2\f6419440.xz","archive","568027136","2025-12-19T10:35:34.0000000Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\recup_dir.2\f8633512.deb","archive\recup_dir.2\f8633512.deb","archive","536956928","2025-12-19T10:36:36.0000000Z"
"C:\Users\conor\Desktop\MasterRecovery3\.git\objects\f7\a5841490bea15120e2543a1ea0a7206583ffb9",".git\objects\f7\a5841490bea15120e2543a1ea0a7206583ffb9",".git","533185728","2026-02-28T22:53:39.8972638Z"
"C:\Users\conor\Desktop\MasterRecovery3\.git\objects\60\c671a0ec03dfb7cf37110bd3b051c206215ad5",".git\objects\60\c671a0ec03dfb7cf37110bd3b051c206215ad5",".git","469156652","2026-03-05T21:23:12.9914921Z"
"C:\Users\conor\Desktop\MasterRecovery3\.git\objects\c4\6c09ec27d7588c1c09581b9effcb77cf5616d0",".git\objects\c4\6c09ec27d7588c1c09581b9effcb77cf5616d0",".git","466880363","2026-03-05T21:23:03.6202713Z"
"C:\Users\conor\Desktop\MasterRecovery3\.git\objects\93\9c6c14eba60b9e09ce47d754751270aec210f1",".git\objects\93\9c6c14eba60b9e09ce47d754751270aec210f1",".git","459397554","2026-03-05T21:23:19.4233944Z"
"C:\Users\conor\Desktop\MasterRecovery3\.git\objects\02\b0a5f8b5667242fcb1921bd9c0896c96301cca",".git\objects\02\b0a5f8b5667242fcb1921bd9c0896c96301cca",".git","457788758","2026-03-05T21:23:38.6838337Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Files\deleted_files.txt","archive\Files\deleted_files.txt","archive","456371240","2025-12-19T06:08:06.0000000Z"
"C:\Users\conor\Desktop\MasterRecovery3\archive\Imported_Data\Global_Text_Docs\OneDrive\Desktop\RECOVERY\Files\deleted_files.txt","archive\Imported_Data\Global_Text_Docs\OneDrive\Desktop\RECOVERY\Files\deleted_files.txt","archive","456371240","2025-12-19T06:08:06.0000000Z"
